houses_link	review_link	author	message
Свой Дом	Отзывы	ostrouhova	"Красивые дома, интересная задумка застройки. Дома с подсветкой на фасаде, установлены корзины под кондиционер. 
Цены на квартиры не высокие. 
Живём рядом с этим ЖК. Надеемся, в этом ЖК  будут магазины на первых этажах, а то мало продовольственных магазинов в шаговой  доступны."
Свой Дом	Отзывы	Тата	Новый, современный, красивый. И качество строительства видно сразу, на совесть!!! Никаких простоев, работа кипит, быстро все делается. Расположение отличное у дома!
Свой Дом	Отзывы	Юлия Косинова	Купили квартиру в ЖК Свой Дом! Очень довольны расположением и ходом строительства. Очень компетентные сотрудники. Рядом остановка, рынок. В доме будут располагаться магазины.
Свой Дом	Отзывы	Марина	Мало того, что построили этот дом впритык к соседнему, так еще и парковочных мест выделили 37! В доме будет 328 квартир, где будут ставить свои машины все остальные жильцы? Стоял себе пустырь, нет бы ТРЦ нормальный построить или сквер оборудованный. Нет! Давайте еще один дом забабахаем! Не жили на ваях хорошо, нечего и начинать.
Свой Дом	Отзывы	Алексей Сергеевич	Квартира не стоит таких больших денег, так как сделан из пеноблока и утеплителя, снаружи просто загрунтовали по ктеплителю и все, вобщем все из дешманского материала этот дом, люди будьте осторожны дом не стоит таких больших денег,просто побелка стен😂
Свой Дом	Отзывы	Инкогнито 5715	По проекту данный дом выглядит красиво. Строят достаточно быстро.  Планировки удачные, удобные. Очень очень ждем ввода в эксплуатацию!
Свой Дом	Отзывы	Елена Ж.	Пишут сады переполнены… Так то 180 сад уже который год испытывает недобор детей, из озерков берут. Так что отзывы походу конкуренты пишут, которые с районом вообще незнакомы
Свой Дом	Отзывы	Иванов Иван	Строят новый дом, рядом все дороги по перекопали ,машинами поразмесили, люди ходят на остановку утопают , себе то они потом плиткой уложат, а на остальных плевать
Свой Дом	Отзывы	Александр Бугаков	Дома очень близко друг к другу, дом на доме. Мест 40 гостевая парковка. Живи как хочешь. Хуже дом не придумаешь.
Свой Дом	Отзывы	Владислав Отводинков	Красиво, но рядом железная дорога, где часто разгружают щебень. Бывает громко
Свой Дом	Отзывы	Дмитрий Бычков	Лучший ЖК района, комфорт,доступность и инфраструктура!
Свой Дом	Отзывы	Алексей царьков	отличный жилой комплекс
Свой Дом	Отзывы	Николай Дудецкий	Дом строиться близко к другим домам
Свой Дом	Отзывы	Наталья	Строят дома очень близко к уже стоящим.
Свой Дом	Отзывы	Вера старцеаа	Он ещё не достроен
Жилой комплекс 48	Отзывы	Алла И.	При выборе квартиры важно было территориальное расположение - недалеко от центра, но и не в центре города, комплекс расположен в этом понимании идеально. И планировки квартир порадовали)
Жилой комплекс 48	Отзывы	Юлия	Находится недалеко от одной из основных улиц Воронежа. В пешей доступности сад и сквер. Лично я вижу плюс в том, что нет многоквартирных домов рядом, так как всегда будет место во дворе, чтобы припарковаться.  Удобная планировка квартир, возможность заказать сразу готовый дизайн квартиры и купить кладовку дополнительную для меня были огромным плюсом.  Цена/качество порадовали!
Жилой комплекс 48	Отзывы	Алексей	"Понравилась архитектура здания. Будет представлять собой доминанту в районе, выделяться среди ближайших зданий.
Планировки квартир разработаны под различного потребителя, каждый подберет квартиру по вкусу."
Жилой комплекс 48	Отзывы	Дмитрий	"Долго выбирали в каком комплексе приобрести новую квартиру. По моему мнению ЖК ""48"" лучший вариант по соотношению цена/качество. Застройщик не экономит на материалах, планировки квартир выполнены так чтобы потом можно было без проблем разместить необходимую мебель в различных вариантах."
Жилой комплекс 48	Отзывы	Сергей К.	Ультрасовременная архитектура, планировки для  людей. Удобное расположение - рядом парк, детский сад.
Жилой комплекс 48	Отзывы	Владислав Б.	Удобный и комфортный жилой комплекс, планировки отличные, расположение устраивает!
Жилой комплекс 48	Отзывы	Марина Бубельник	Хорошие планировки, интересный проект, неплохая транспортная доступность.
Жилой комплекс 48	Отзывы	Наташа К.	И так на Солнечной и Машиностроителей вечные нескончаемые пробки, так теперь вообще будет ужас....Хотя картинки прикольные.
Жилой комплекс 48	Отзывы	Евгений Германовский	Красивое здание, интересные планировки, удобное местоположение.
Жилой комплекс 48	Отзывы	Алексей Бондарчук	Место конечное не очень вокруг завод со всех сторон причём.
Джаз	Отзывы	Ирина Никитина	Задумались с мужем о покупке квартиры, обратились в отдел продаж ЖК Джаз. Менеджер рассказала, что сейчас в компании действуют дополнительные новогодние скидки и предложила экскурсию на объект, мы с удовольствием согласились и не пожалели! Увидели своими глазами как строится наш будущий дом, посмотрели планировки квартир в разных секциях, получили ответы на все свои вопросы! Для меня стало приятной неожиданностью узнать о больших окнах в квартирах, о нишах под гардеробные, которые есть в каждой квартире, а еще я нашла квартиру своей мечты! Ранее я рассматривала только стандартные планировки квартир, но в ЖК Джаз увидела нечто особенное: 2-х комнатная квартира  с двумя огромными окнами в кухне-гостиной нестандартной планировки. Светлая и просторная, скорее хочется придумывать и творить свой дизайн. ЖК Джаз - это то, о чем я мечтала😇
Джаз	Отзывы	Татьяна Руднева	Приобрели месяц назад квартиру в ЖК Джаз, в восторге от планировки, большая кухня-гостинная, и 2 санузла, что очень важно для нашей семьи. Старший ребёнок пошёл в школу, рядом с комплексом. Ждём с нетерпением сдачу дома.
Джаз	Отзывы	Виктория Т.	Забронировала квартиру в этом жилом комплексе , понравился вариант евродвушки.  Для нашей семьи очень важно, что рядом с домом школа и будет детский сад. А когда менеджер сказал, еще ЖК  и цифровой, но это просто фантастика! Ждем не дождемся когда одобрят ипотеку в банке).
Джаз	Отзывы	Вика П.	"Сейчас рассматриваю покупку квартиры в этом жилом комплексе.

В первую очередь привлекает не только большой выбор планировок и стоимость, а развитая инфраструктура. Рядом с ЖК уже есть школа и остановка."
Джаз	Отзывы	Павел Бобряшов	Отличный будет дом. Мы его строим. Много архетиктурных решений повышающик надежность этого дома которые поям продуманы для людей. Завидую будущим жильцам этого дома.
Джаз	Отзывы	Сергей Г.	Концепция данного ЖК хорошая, то что сейчас закладывает застройщик на стадии строительства нет пока практически ни у кого в городе! На перспективу будет просто супер. Пока только стройка(
Джаз	Отзывы	Юлия Ткач	При выборе квартиры для меня важна не только стоимость и планировка, для меня важна инфраструктура. Поэтому рассматриваю приобретение жилья в этом ЖК))).
Джаз	Отзывы	Петров Александр	Необычный проект! Радует наличие школы, рассматриваю возможность покупки.
Джаз	Отзывы	Влад	Красивый комплекс! Знакомых, правда, там у меня нет!
Джаз	Отзывы	Андрей Владимирович С.	Отличная концепция!!!
Ключи Club	Отзывы	Радмир Сагитов	Хороший ЖК рядом с Остужевской развязкой. Школа уже посотроена, все остальное, думаю, тоже построят в ближайшее время. Очень удобно, что инфраструктура развивается вместе со строительством ЖК.
Ключи Club	Отзывы	Aleksey Mark	Обещние с офисом продаж оставило исключительно положительные впечатления. Классные планировки, цена (лично для нас с мужем) тоже вполне приемлемая. Планируем покупать тут квартиру в ближ.время)))
Ключи Club	Отзывы	Даниил О.	Взяли здесь квартиру потому что дочка пошла в  школу рядом. Понравилось, что есть подземная парковка, лоджия утеплена, окна выходят на сосновый лес. Цена высоковата
Ключи Club	Отзывы	Азат Валеев	Давненько присматривался к этому району, и успел прыгнуть в последний вагон по нормальным ипотечным ставкам. Единственный минус в том, что дома будут сданы в 25 году, ждать прилично. В остальном претензии к застройщику не имею, в офисе работают адекватные люди - не обещают воздушных замков, отвечают на все вопросы, очень помогли с ипотекой.
Ключи Club	Отзывы	Елена Пак	Хорошие планировки квартир, выбирали однушку. Рядом новая  школа, уже работает, обещают детский сад скоро. Считаю что у этого района хорошие перспективы стать одним из самых популярных в городе
Ключи Club	Отзывы	Bones	Успели тут купить квартиру по низким ставкам. На текущий момент все нравится, в планах застройщика реализовать развитый район с хорошей инфрастуктурой. Очень хочется верить)
Ключи Club	Отзывы	Кирилл Григориев	Новый жк в моем родном районе. Нравится название - жить в Ключах приятнее, чем в Процессоре )))) Езжу рядом регулярно, сам дом уже прилично построен
Ключи Club	Отзывы	reskontrol	"Локацию этого ЖК стОит сравнить с географией Новой Москвы. И не только локацию, но и обеспеченность социальными объектами. В кои то веки запроектированы школа, детский сад и поликлиника на расстоянии 500 метров друг от друга. Господа чиновники из федеральных и муниципальных структур, браво! Кто мешал таким образом делать планировку территорий раньше?! 
Можно позавидовать будущим жителям квартала. Такую транспортную доступность можно сравнить с гиперлупом Илона Маска. Через пару лет домчать до ж/д вокзала можно будет за 15 минут, преодолев всего четыре (!) светофора. Четыре, Карл! Транспортная развязка, которую все жители района ждут 20 лет заработает. 
Пешая доступность ТЦ Метро тоже круто!
Что из минусов? Взлетка ВАСО. Слава Богу, это это не Хитроу, где каждую минуту взлетает по айрбасу. Пара-тройка бортов в месяц. Что ещё? Конечно трасса М4 и непосредственный выезд на эту магистраль. Пожалуй это всё, что может добавить ложечку дёгтя. Но, с другой стороны, выехать за город вы можете сразу, покинув территорию комплекса. До пляжа Усманки можно добраться за те же 15 минут.
Круто? Увернен, что да. Осталось только дождаться окончания строительства ЖК Ключи-Сlub. Описание проекта жилого комплекса очень интересное и на всю голову цифровое. Неужели научились мыслить, проектировать и строить как Белокаменной!? 
Будем надеяться..
Ключи-Club, ждём с нетерпением 🔥"
Ключи Club	Отзывы	Анастасия Гордеева	Цены высоковаты... В остальном недостатков нет. Классный и крутой крупный проект,  левый берег преображается на глазах ❤️
Ключи Club	Отзывы	Анастасия А.	Интересный дом, симпатичные фасады и планировки. Школу начали строить раньше дома! Для Воронежа это нонсенс. Жаль, что такой удачный проект практически на окраине. Вроде бы и остужевское кольцо рядом, но все равно пока этот район полностью застроится и обживется понадобится время. Лет через 5 там уже классный район будет. Но хорошо хочется жить сегодня, а не 5 лет на стройке
Ключи Club	Отзывы	Александра	Ставлю пятерку авансом. Купила здесь квартиру и очень надеюсь, что застройщик выполнит все свои обещания и воплотит в жизнь все что обещает. Пока впечатления от дома положительные. Балконы остеклены пластиком, кондиционеры во всех комнатах, двор с газонами и автополивом, электронный консьерж какой- то… Из минусов- пробка в районе кольца, но уверена что они все же доделают развязку.
Ключи Club	Отзывы	ВАДИМ Анатольевич	Самое главное, что школу уже построили. Ждем детский сад) Надеюсь, все остальные обещания также будут воплощены в жизнь, стоит присмотреться
Ключи Club	Отзывы	Кирилл Малышев	Понравился дом, рассматривал его при покупке квартиры, выбрал другой только потому что надо было сразу въезжать, а этим домам еще строиться.. Ценник для левого берега высоковат, но. Кирпич монолит, планировки, школа и сад рядом с домом – попробуйте сейчас найти в Врн такое место. Много всяких фишек от застройщика, типа кондиционеры в каждой комнате, даже в кухне, лоджии все утепленные остеклят пластиком -круто, кладовок много – они как раз копейки стоят, парковка внизу, двор закрытый..
Ключи Club	Отзывы	Алексей Анатольев	Купили тут квартиру) Школа уже есть, детсад будет в ближ.время. Езжу мимо него на работу, активное строительство каждый день
Ключи Club	Отзывы	миссис	Думаю над покупкой в этом комплексе квартиры, новая инфраструктура в шаговой доступности, но останавливает близость ж/д дороги и есть вероятность, что по этой железке пустят высокоскоростные поезда до Адлера, а жить с закрытыми окнами не мой вариант
Ключи Club	Отзывы	Анна Е.	Симпатичный квартал. Наконец-то застроят эту ужасную депрессивную территорию. Часто езжу по Тамбовской трассе, пробки жуткие. Ждем не дождемся когда развязку доделают и все полетит
Ключи Club	Отзывы	Михаил Шаповалов	Место неплохое
Ключи Club	Отзывы	Александра Ковтун	Отличное место с развитой инфраструктурой!
Ключи Club	Отзывы	Елена Фридман	Тихое стильное месть для проживания
Сказка Град	Отзывы	Александр Швыдков	Отличный жк, двух уровневый. Все в плиточке и в сказочной тематике где много сказочных персонажей. Хорошие входные группы,все в плитке и  выглядит достойно, в каждом подъезде консьерж который следит за порядком,чистотой и будет каждого жильца  знать в лицо, хотя кругом камеры  . В подъезде по 3 лифта, 2 грузовые и 1пассажирский. Много парковочных мест. Подземная парковка.     Игровые зоны-небольшие, но они есть . Зоны для прогулок и отдыха с скамейками и зеленью. Магазины. Красивые дома  а 🌙 ночью когда все освещается и по верхам домов неоновая подсветка красота. И не ощущаешь что немного в отдалени от центра. Этот жк он красивый и самодостаточный все необходимое будет  в нем. Пока он строится ,но уже преображается.
Сказка Град	Отзывы	Егор Табаков	Отличный жк во всем, новые красивые дома, ухоженная территория с большим количеством площадок. Единственный минус, это транспортная развязка. Из общественного транспорта в центр только маршрутка 77 и трамвай 5, чтобы дойти до остановки нужно потратить 10-15 минут. Добраться в центр занимает час времени. В другие окраины города полтора часа (на общестеннном без пробок). На личном авто ситуация немного проще, но в час пик время в пути до центра может занять и больше часа. Также проблема с магазинами, на территории только магнит и КБ, из гипермаркетов по близости только Окей, 30 мин пешком, либо на транспорте. И ОЗ молл, только на транспорте, 10 мин езды без пробок. Как итог, отличный ЖК с проблемным расположением. Выбирать стоит если не надо каждый день  добираться на юбилейный или район КП, Московской, Восточно-кругликовской и тд
Сказка Град	Отзывы	Лемминг	"Территория ухожена, расположение домов позволяет из окон просматривать перспективу, не только видеть окна дома напротив. Магнит, подземная парковка... Места для машин мало, когда заселятся все корпуса, будет проблема.
Качество домов понравилось, окна правильно установлены, с мембранами. Конструкция окон хорошая - все распашные, глухие рамы внизу легко мыть.
Хороший подъезд, консьерж, место для колясок и почты, два лифта, просторно и красиво. Там же комната, о которой речь пойдет в конце повествования и туалет. Очень удобно если нужно быстренько отвести туда ребенка, играющего на площадке.
Главные минусы в квартирах.
1. Какой неумный человек разместил короб для кондиционера слева от лоджии, а расположение внутреннего блока предусмотрено с противоположной стороны комнаты.
2. Вентиляция туалета- песТня!
Канал вентиляции выходит напрямую в ванную! Все, это вся вентиляция.
3. Стояки. Отверстие в стене для вывода слива из кухни и ванной ровнехонько упирается  в стояк холодной воды.
4. Полотенцесушитель предусмотрен где?! В туалете!!!
Что там сушить будем?
5. Вентиляционное отверстие на кухне, куда должна выходить вытяжка на одной стене, вывод силового кабеля для плиты у другой.
6. Как нам сообщил консьерж, комната, которую нам застройщик обозначил изначально как помещение для мытья собачьих лап, расположенная на первом этаже при входе, впоследствии оказалась хозяйственной комнатой для уборщицы. 
В целом предчтстовая отделка таковой и является, неплохо оштукатурены стены, залиты полы. Непритязательным жильцам достаточно поклеить обои и положить ламинат/ паркет."
Сказка Град	Отзывы	Татьяна Агафонова	Отличный ЖК. Живем тут месяц, все радует. Красивая территория, приветливые консьержи, удобно, что вся необходимая инфраструктура есть на территории ЖК. Приятные детские площадки, одним словом Сказка. И в пробках особо не стоим ни утром, ни вечером. Нет проблем с парковкой, но тут вопрос времени
Сказка Град	Отзывы	Коренной	"Интересный Жк, большая территория закрытая
Внутри детские площадки и магазины
Все выглядит чисто и опрятно
К недостаткам можно отнести только один въезд и выезд и большую плотность населения (на этажах больше 10 квартир)"
Сказка Град	Отзывы	Анна Горлова	Отличный ЖК! Территория очень стильная, яркие детские площадки и спортивные. Есть все необходимые магазины. Транспортная развязка неплохая: маршрутки, троллейбусы и трамвай( 12-15 мин.пешком)
Сказка Град	Отзывы	Светлана Прокушева	"Из плюсов: хороший просторный ЖК, много парковочных мест, красивая ухоженная территория, вежливые консьержки.
Из минусов: пока нет школы и детского сада, если все это построят, как запланировано в проекте, будет очень круто!"
Сказка Град	Отзывы	Мистер Макс	Шикарный ЖК с прекрасными детскими площадками, а какая подсветка домов ночью просто 👍👍👍 и вид из окна тоже потрясающий, въехд с шлагбаумом, парковочные места с запасом, в лифте играет ненавязчивая музыка. Полный комфорт и отличная шумоизоляция.
Сказка Град	Отзывы	Елена Близнюк	"Просто великолепно. Вся территория ухожкна, камушки, фонтан. А когда будет школа и целых три детских сада, то вообще все будет замечательно.
А по поводу густонаселения, покупайте звукоизоляцию динбарриер и будет вам тишина 👌"
Сказка Град	Отзывы	Ирина Бедненко	Все нравиться в этом районе кроме съезда для автомобилей вниз к домам находящимся ниже по уровню от верхних построек, этот спуск ужасен, особенно будет  зимой это ощутимо, а так все отлично! Думаю дальше после завершения строительства в этом месте будет ещё красивее. Ещё пожелание на будущее почистить и облагородить водоем(бывшие Купальни) тогда совсем супер будет! А пока три звезды!
Сказка Град	Отзывы	Дмитрий	Хороший комплекс. Все удобно. Есть магазины на территории, озон Яндекс. Всегда есть куда поставить машину плюс паркинг. Комплекс ещё строится поэтому бывают и шум и отключения но в общем норм.
Сказка Град	Отзывы	Кирилл Кулиш	Отличный заезд в ЖК под 90 градусов! Чтобы заехать приходится совершать практически полную остановку на ул. Мачуги. Парковочных мест практически нет, все постоянно забито! Интересно будет наблюдать когда в дома заселяться все жильцы😊 Очень нравиться заезд к 166 дому!!! И в этом уровне рядом стоящих домов!  Впечатлило то, что прошедший небольшой снегопад и незначительная минусовая температура, сотворили коллабс!!! С придомовой территории не выехать на автомобиле, если у вас не стоит шипованная резина! Пешим ходом подьем неодалеть! Так же хочется заметить, что сделаны замечательные керамогранитные ступени к подъездам! На которых из за кратковременное дождя, можно убиться насмерть или получить серьёзные травмы! В любой квартире от мастеров, вы получаете кривые стены! Что даже мастера из южной Азии заплакали бы. Спасибо большое застройщикам данного комплекса! Теперь я знаю как выглядит Сказка!
Сказка Град	Отзывы	484013 Денисова	Один из самых красивых и комфортабельных ЖК в Карасунском округе. Благоустроенная территория с современными детскими и спортивными площадками, зонами отдыха, ландшафтным дизайном. Пока есть трудности с заездом и выездом из ЖК, требуются развороты.
Сказка Град	Отзывы	oleg v.	Проживал на съемной квартире в этом ЖК, везде чисто, комфортно, в квартире хорошая шумоизоляция, лифты работают, все необходимые магазины прямо в доме. Очень понравилось.
Сказка Град	Отзывы	Юлия Ткачева	Новый жилой комплекс, красивая внутренняя территория, игровые площадки, подземный паркинг, газоны,  все чистое и красивое. Минус это отсутствие кафе и ресторанов на территории и вблизи их тоже мало, но думаю со временем когда заселится комплекс они появятся. Сейчас пока людей немного живет очень тихо, но потом …… посмотрим
Сказка Град	Отзывы	Геннадий Трунов	Отличный ЖК, в планах благоустройство территории, хорошие планировки,но в литере 1 постоянно сломанный лифт, прям регулярно, и спуск к литерам класса комфорт слишком крутой спуск. Зимой в гололёд на этом спуске каково?
Сказка Град	Отзывы	Ирина	Отличная инфраструктура. Озеленение и детские площадки супер. Не хватает только детсадов и школы. Поэтому 4 звезды. Надеюсь, компания и город сдержат слово и построят их. P. S. Выезды из ЖК. Нужно больше.
Сказка Град	Отзывы	Светлана Беляева	Мечтали о квартире в Сказке. Осуществили мечту. Очень красивый ЖК. Для детей раздолье. Много детских площадок, спортивные, зоны отдыха, барбекю, магазины и офисы маркетплейсов. Камеры наблюдения, консьержи. Красивый вид с окна на озеро.
Сказка Град	Отзывы	Дмитрий Сенин	Комплекс находится на выезде из города, что является плюсом для иногородних. Территория огорожена, и пока имеется лишь один въезд, он же выезд, за пределы. Думаю, со временем, когда дома заселялся полностью, пропускной способности въезда окажется мало, и придётся строить новые пути. Дворы и детские площадки достойного качества, а вид из окна на озеро и закат чудесны. Школа и детсад тоже понадобятся, думаю они есть в проекте комплекса
Сказка Град	Отзывы	idea_perfetta_123rus	Хороший ЖК с развитой инфраструктурой, качественная придомовая территория, магазины, маркетплейсы и все что может понадобится, для жизни в современном и развитом жилом комплексе
Сказка Град	Отзывы	Наталья П.	Сам ЖК снаружи очень понравился. Купили в нем квартиру, ожидаем конца стройки. Но никак не можем точно узнать, будут ли на территории детский сад и школа? По плану стоят, но даже начала строительства не видно. Хотелось бу узнать конкретные сроки. И будет ли благоустраиваться так называемая набережная вокруг озера? Это те факторы, которые в том числе повлияли на нас при покупке квартиры именно в этом ЖК.
Сказка Град	Отзывы	Анвар Сафиуллин	ЖК Сказка Град- сказка. Почти три года супруга при виде на ЖК то и дело начинала мечтать о том чтобы взять здесь квартиру. И вот настал тот момент, когда появилась нужная акция и теперь мы живем здесь, радуясь каждым мелочам, окружающие в сказке, а их много. Единственный минус, это отсутствие светофора и перехода при выезде из ЖК. Надеюсь что скором времени это обязательно сделают.
Сказка Град	Отзывы	никсссс	"замечательная территория, очень красиво оформлены подъезды и каридоры, очень быстрый лифт, что удобно
в каждых подъездах есть отдельные комнаты для хранения каоясок/самокатов/велосипедов, есть туалет и комната чтобы мыть лапы собакам или колеса калясок"
Сказка Град	Отзывы	Владислав Дейнега	На самом деле один из лучших жк в Краснодаре. Сейчас строят лифт вниз, это крайне необходимая вещь для всех. Красиво и со вкусом. Но по сути человейники. Этого не отнять у Краснодара, поэтому оценка не снижается
Сказка Град	Отзывы	Иван Мигунов	Шикарный жилой комплекс! Дома хорошего качества с предчистоврй качественной отделкой ! Интересные тематические  детские площадки. Выезд на трассу м4 дон 5 мин. Рядом огромный ТЦ Оzmoll.
Сказка Град	Отзывы	........	"Большой и видимо в будущем красивый комплекс. Но сразу бросается в глаза отсутствие достаточного количества парковок при огромных небоскребах. В комплекс идёт  всего один въезд и он же выезд, что в будущем создаст огромную пропку из желающих выехать из комплекса, при этом выезд затруднен сплошным потоком авто несущегося в сторону развязки видимо необходим светофор но компании строящей этот комплекс, по всей видимости на купивших в комплексе жильё людей плевать с боььшой колокольни. Не лучше объстоят дела с пешеходами, короткого выхода на ул. МАЧУГИ тоже нет, вся масса людей вместе с авто идёт в одни ворота. До сих порт никто так и не начал строительство школы и садов, видимо воспользуются какой нибудь проблемкой и эта задумка просто забудится под шумок. Огромный массив размещения людей не предпологает строительства поликлинники, видимо предпологается что там будут жить бессмертные с рождения люди и никогда не болеющие дети. 
Но самое интересное это тарифы на жкх, они огромны и непрозрачны. Чего только стоит сбор на консьержа по 500 рублей с квартиры, который по факту только сидит на 1 этаже и низачто не отвечает. Лично наблюдал как два строителя обсыкали дом под камерами, но ни охрана ни консьерж не отреогировал. Сбор за использование приложения умный дом, при этом вы даже не будете им пользоваться и его не будет у вас на телефоне, но это для управляющей компании не важно. Таким образом на сегодня минусов комплекса больше чем плюсов, всё выше перечисленное создаст клнфликтные ситуации у жителей в будущем, а отсутсвие достаточного количества удобных комуникаций и высокие тарифы могут значительро испортить настроение жильцам комплекса."
Сказка Град	Отзывы	Victoria K.	Абалденный ЖК! 👍 Снимали квартиру посуточно, проездом, очень удобно: отличные парковки, детские площадки, зоны отдыха, фонтан, подъезды оборудованы автоматами с кофе☕😊дети не хотели уезжать))) да и взрослым хотелось бы жить в такой сказке😍
Сказка Град	Отзывы	YURA	"Звукоизоляция плохая , слов не разобрать что говорят в соседней квартире, но слышно хорошо, вода не очень , выезд 1н пока , хз тысячи квартир и выезд на мачугу и разворот на перекрестке , будет жофа. До Остановки идти мин 10 это если не через дорогу , через дорогу а это 6 полос, такое себе удовольствие еще больше. турниров и ТД не видел, куча всякого для ""детей"" а турника вшивого и брусьев детям нельзя выходит , вдруг здоровыми будут.дополню потом"
